origin_msoa,origin_msoa_name,origin_lad_name_guess,commuters_to_selected_workplaces,od_weighted_msoa_exposure_sum,linked_workplace_msoas,linked_workplace_lads,msoa_exposure_per_1000
E02006788,Croydon 045,Croydon,180,205.45788653366563,23,8,0.20545788653366562
E02000805,Richmond upon Thames 022,Richmond upon Thames,180,205.25362901652235,22,8,0.20525362901652236
E02000850,Sutton 011,Sutton,180,205.10227953538126,21,8,0.20510227953538127
E02000471,Havering 008,Havering,160,204.98633825366295,17,7,0.20498633825366294
E02000758,Redbridge 008,Redbridge,175,204.6960386586069,22,8,0.20469603865860692
E02000267,Ealing 030,Ealing,184,203.59264413533185,24,8,0.20359264413533185
E02000163,Bromley 037,Bromley,169,203.32094044392556,19,8,0.20332094044392557
E02000152,Bromley 026,Bromley,168,202.10659057311798,22,8,0.20210659057311797
E02000707,Merton 019,Merton,184,201.4988093714487,23,8,0.20149880937144868
E02000840,Sutton 001,Sutton,179,201.37046601001947,21,8,0.20137046601001948
E02000148,Bromley 022,Bromley,170,201.32496315392075,21,8,0.20132496315392076
E02000709,Merton 021,Merton,179,199.04483845384732,22,8,0.19904483845384732
E02000503,Hillingdon 010,Hillingdon,174,197.52468425473222,23,8,0.1975246842547322
E02000247,Ealing 010,Ealing,180,196.5462403441519,22,8,0.19654624034415188
E02000234,Croydon 041,Croydon,159,195.30849060783578,19,7,0.19530849060783578
E02000608,Kingston upon Thames 011,Kingston upon Thames,165,195.1507396214373,22,8,0.1951507396214373
E02000302,Enfield 026,Enfield,175,195.14882018060945,21,8,0.19514882018060944
E02000002,Barking and Dagenham 001,Barking and Dagenham,171,194.7068436256871,22,8,0.1947068436256871
E02000150,Bromley 024,Bromley,167,194.46054895346887,16,8,0.19446054895346887
E02000501,Hillingdon 008,Hillingdon,171,192.46873308838008,21,8,0.19246873308838008
E02000494,Hillingdon 001,Hillingdon,166,192.39172150450887,21,8,0.19239172150450887
E02000292,Enfield 016,Enfield,168,191.68435141740827,21,8,0.19168435141740828
E02000280,Enfield 004,Enfield,163,191.6621575470958,21,8,0.1916621575470958
E02000755,Redbridge 005,Redbridge,162,191.36749525695535,21,8,0.19136749525695534
E02000777,Redbridge 027,Redbridge,163,191.32179373423298,23,8,0.19132179373423297
E02006795,Harrow 032,Harrow,171,190.8826727589891,23,8,0.1908826727589891
E02000798,Richmond upon Thames 015,Richmond upon Thames,165,190.84640255277338,21,8,0.19084640255277338
E02000534,Hounslow 009,Hounslow,173,189.87428249055216,17,8,0.18987428249055216
E02000241,Ealing 004,Ealing,166,189.7831985467728,23,8,0.1897831985467728
E02000797,Richmond upon Thames 014,Richmond upon Thames,164,189.11664977147248,21,8,0.1891166497714725
E02000211,Croydon 018,Croydon,163,188.2793246178543,22,8,0.1882793246178543
E02000520,Hillingdon 027,Hillingdon,173,188.2135674812989,22,8,0.1882135674812989
E02000508,Hillingdon 015,Hillingdon,171,187.16492598114866,21,8,0.18716492598114864
E02000253,Ealing 016,Ealing,174,186.98240505081148,21,8,0.18698240505081148
E02000497,Hillingdon 004,Hillingdon,161,186.38549099801963,17,8,0.18638549099801963
E02000612,Kingston upon Thames 015,Kingston upon Thames,155,185.8901284689632,21,8,0.18589012846896322
E02000266,Ealing 029,Ealing,169,185.72115353657773,23,8,0.18572115353657773
E02000690,Merton 002,Merton,159,185.50596581697297,22,8,0.18550596581697298
E02000158,Bromley 032,Bromley,153,184.75825314313877,21,8,0.18475825314313876
E02000160,Bromley 034,Bromley,158,184.21666467946406,20,8,0.18421666467946407
E02000549,Hounslow 024,Hounslow,158,183.0589069073176,20,8,0.1830589069073176
E02000895,Waltham Forest 001,Waltham Forest,158,182.84312686431068,23,8,0.18284312686431067
E02000287,Enfield 011,Enfield,152,180.35139073441565,21,8,0.18035139073441564
E02000028,Barnet 005,Barnet,159,180.10186977565405,20,8,0.18010186977565404
E02000227,Croydon 034,Croydon,153,178.4592737257862,24,8,0.1784592737257862
E02000457,Harrow 025,Harrow,157,178.34204603286906,20,8,0.17834204603286907
E02000447,Harrow 015,Harrow,159,177.66811753406017,23,8,0.17766811753406017
E02000541,Hounslow 016,Hounslow,164,177.3848687628613,21,8,0.17738486876286128
