clean_name,2019_Midweek,2019_Friday,2023_Monday,2023_Midweek,2023_Friday,2024_Monday,2024_Midweek,2024_Friday,2025_Monday,2025_Midweek,2025_Friday,raw_ratio_19_mon,raw_ratio_19_fri,raw_ratio_23_mon,raw_ratio_23_fri,collapse_23_mon,collapse_23_fri,total_collapse_23,raw_ratio_24_mon,raw_ratio_24_fri,collapse_24_mon,collapse_24_fri,total_collapse_24,raw_ratio_25_mon,raw_ratio_25_fri,collapse_25_mon,collapse_25_fri,total_collapse_25,cumulative_collapse_score,shock_rank,top100_affected,geometry
Blackfriars,55851,52408,31045.0,38761.0,28270.0,33540.0,41805.0,30827.0,33386.0,41827.0,30667.0,1.0,0.938353834309144,0.800933928433219,0.7293413482624287,0.19906607156678102,0.22274378641037806,0.4218098579771591,0.8022963760315752,0.7373998325559143,0.19770362396842478,0.21415589131276958,0.41185951528119435,0.7981925550481747,0.7331866975876826,0.20180744495182534,0.21864581272001105,0.4204532576718364,1.2541226309301898,11,True,POINT Z (-0.103603883187671 51.5116263548801 0)
Southwark,51940,50432,26649.0,33148.0,26453.0,26644.0,34247.0,25238.0,27288.0,33249.0,25498.0,1.0,0.9709664998074702,0.8039399058766743,0.7980270302884035,0.1960600941233257,0.17811064496391826,0.37417073908724396,0.7779951528601046,0.736940461938272,0.22200484713989543,0.24102380248505217,0.4630286496249476,0.8207164125236849,0.7668802069235165,0.17928358747631512,0.21018880973176857,0.3894723972080837,1.2266717859202751,12,True,POINT Z (-0.10537174281666 51.5042889814589 0)
Oxford Circus,244740,268380,136728.0,177466.0,160339.0,139251.0,177867.0,154692.0,143595.0,178607.0,158048.0,1.0,1.0965923020348125,0.7704461699705859,0.9034913729953906,0.2295538300294141,0.17609181523626238,0.4056456452656765,0.782893960093778,0.8697060162930729,0.21710603990622201,0.20690122055456206,0.4240072604607841,0.8039718488077175,0.8848925294081419,0.19602815119228245,0.1930523971706214,0.38908054836290384,1.2187334540893644,13,True,POINT Z (-0.141605199843146 51.5153213176106 0)
Charing Cross,62361,66017,39925.0,48540.0,44885.0,40519.0,55199.0,47287.0,38339.0,50985.0,42674.0,1.0,1.058626385080419,0.8225175113308612,0.9247012772970746,0.17748248866913885,0.12650837884904087,0.3039908675181797,0.7340531531368322,0.8566640700012681,0.26594684686316783,0.19077770772151004,0.45672455458467787,0.7519662645876238,0.8369912719427283,0.24803373541237617,0.20936103261856076,0.4573947680309369,1.2181101901337945,14,True,POINT Z (-0.127358365578834 51.5073793841553 0)
Farringdon,98706,88177,128933.0,165095.0,123844.0,126030.0,163481.0,119438.0,137368.0,172209.0,123183.0,1.0,0.893329686138634,0.7809624761500954,0.7501377994488022,0.2190375238499046,0.16029007981226995,0.37932760366217455,0.7709152745578997,0.7305925459227678,0.22908472544210035,0.1821691842787494,0.41125390972084974,0.797681886544838,0.7153110464609863,0.20231811345516204,0.19927541023194129,0.4015935236871033,1.1921750370701276,15,True,POINT Z (-0.105166098257485 51.5204720783579 0)
Holborn,107328,107526,61667.0,76347.0,65749.0,59687.0,76723.0,61115.0,57108.0,73790.0,58860.0,1.0,1.0018448121645795,0.8077200151937862,0.8611864251378574,0.19227998480621378,0.14039937654896528,0.33267936135517906,0.7779544595492877,0.7965668704299884,0.22204554045071234,0.20489993983306543,0.42694548028377777,0.7739260062339071,0.7976690608483534,0.22607399376609294,0.20379977900477952,0.42987377277087246,1.1894986144098292,16,True,POINT Z (-0.120390788915067 51.5175798200696 0)
Marylebone,41506,41030,22622.0,29808.0,25475.0,23725.0,30914.0,25148.0,23429.0,29887.0,24746.0,1.0,0.9885317785380426,0.7589237788513151,0.8546363392377885,0.24107622114868488,0.13544879609057636,0.37652501723926124,0.7674516400336417,0.8134825645338681,0.23254835996635825,0.17708000673793,0.40962836670428826,0.7839194298524442,0.8279854117174691,0.21608057014755577,0.16240890814659337,0.37848947829414914,1.1646428622376988,17,True,POINT Z (-0.164215220446776 51.5221606227201 0)
Embankment,67406,71677,43571.0,57083.0,52502.0,44646.0,58500.0,52255.0,48071.0,59921.0,52482.0,1.0,1.0633623119603597,0.7632920484207207,0.9197484364872204,0.23670795157927926,0.13505639033640393,0.3717643419156832,0.7631794871794871,0.8932478632478632,0.23682051282051286,0.15997788035094296,0.3967983931714558,0.8022396154937335,0.8758532067221843,0.19776038450626654,0.17633604570063555,0.3740964302069021,1.1426591652940412,18,True,POINT Z (-0.122144131709805 51.5074532989423 0)
Green Park,126001,133084,80184.0,100494.0,91377.0,86346.0,108494.0,92912.0,83884.0,103820.0,92341.0,1.0,1.0562138395727019,0.7978983819929548,0.9092781658606484,0.20210161800704518,0.13911545958486715,0.34121707759191233,0.7958596788762512,0.856379154607628,0.2041403211237488,0.1891990783286065,0.3933393994523553,0.8079753419379696,0.8894336351377384,0.1920246580620304,0.1579038241938161,0.3499284822558465,1.0844849593001142,19,True,POINT Z (-0.142516829185471 51.5068691045559 0)
Mornington Crescent,13701,13460,7501.0,10448.0,9081.0,7488.0,9854.0,8971.0,6578.0,9713.0,9169.0,1.0,0.9824100430625502,0.717936447166922,0.8691615620214395,0.28206355283307805,0.11527618415633423,0.3973397369894123,0.7598944591029023,0.9103917190988431,0.24010554089709768,0.07330780509856993,0.3134133459956676,0.6772366930917327,0.9439925872541954,0.32276330690826727,0.039105316644150734,0.361868623552418,1.0726217065374979,20,True,POINT Z (-0.1387241182319 51.5347070026989 0)
